5	two	일치: 2 = §4.1.1 body · Table 1 note	F-1 · One variable, two statements
6	two	일치: 2 = §4.1.1 body · Table 1 note	from two places in the manuscript
9	both	일치: 2 = 위 두 정의	Apply both definitions to the same pair of values
15	two	일치: 2 = -0.150 (표3 상관) · 0.032 (표4 계수)	The two numbers answer different questions
22	all	수사 아님 — 'at all' 은 관용구. 수량 표현이 아니다	whether that condition is observable in this data at all
24	two	일치: 2 = -0.027 (단독 계수) · 0.027 (교호항)	The two values share their digits
25	two	일치: 2 = 865 · 856	F-4 · When the sample size has two values
26	two	일치: 2 = 865 · 856	the ⚠ block in Exhibit A records two motel counts
26	two	일치: 2 = 35,465 · 26,734	the observation count appears at two stages
34	one	수사 아님 — 문항 지시문의 수량 요구. 원고에 대한 셈이 아니다	Report this result in one sentence
37	two	일치: 2 = F-5.3 이 대비시킨 두 문장	Explain the difference between these two sentences
42	both	일치: 2 = 대리지표의 근거 · 한계	Exhibit A quotes both the justification and the limitation
45	one	수사 아님 — 문항 지시문의 수량 요구	Give one situation in which that assumption breaks
